region_code,region_name,state_name,population_hhri_2022,population_age_2024,area_sqkm,population_density_per_sqkm,hhri,hhri_quintile,exposure_index,exposure_quintile,vulnerability_index,vulnerability_quintile,housing_index,health_status_index,adaptive_capacity_index,ses_index,household_composition_index,language_culture_index,cool_places_index,social_connectedness_index,health_access_index,pct_children_0_14_2024,pct_working_age_15_64_2024,pct_65_plus_2024,median_age_2024,sex_ratio_2024,seifa_irsd_score,seifa_irsd_decile,seifa_irsad_score,seifa_irsad_decile,custom_simple_score,chart_status
102011031,Erina - Green Point,New South Wales,14648.0,14680.0,33.7934,433.4574206797777,0.207,2.0,0.031,1.0,0.5,3.0,0.1,0.935,0.509,0.468,0.648,0.338,0.444,0.541,0.559,16.7,52.3,31.1,49.2,89.7,1033.0,7.0,1028.0,7.0,0.411,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011032,Gosford - Springfield,New South Wales,21682.0,22599.0,16.9123,1282.02550806218,0.331,2.0,0.091,1.0,0.914,5.0,0.847,0.773,0.762,0.609,0.86,0.849,0.962,0.095,0.794,15.2,66.1,18.7,39.3,95.3,983.0,4.0,986.0,5.0,0.573,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011033,Kariong,New South Wales,6409.0,6490.0,8.3063,771.5830153016385,0.027,1.0,0.099,1.0,0.267,2.0,0.435,0.385,0.876,0.336,0.321,0.38,0.661,0.792,0.56,21.3,66.7,12.0,37.0,102.6,1035.0,7.0,1012.0,6.0,0.262,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011034,Kincumber - Picketts Valley,New South Wales,7527.0,7590.0,11.7169,642.4054144014201,0.243,2.0,0.058,1.0,0.526,3.0,0.074,0.922,0.507,0.451,0.901,0.213,0.657,0.612,0.273,17.8,52.5,29.7,46.3,84.9,1013.0,6.0,992.0,5.0,0.415,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011035,Narara,New South Wales,7269.0,7344.0,7.7021,943.7685825943574,0.226,2.0,0.31,2.0,0.371,2.0,0.176,0.631,0.628,0.44,0.545,0.366,0.563,0.755,0.37,20.2,63.7,16.1,39.1,95.1,1026.0,6.0,1006.0,6.0,0.372,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011036,Niagara Park - Lisarow,New South Wales,8193.0,8264.0,16.7316,489.6722369647852,0.199,1.0,0.151,1.0,0.355,2.0,0.187,0.787,0.503,0.359,0.535,0.239,0.32,0.786,0.433,19.9,63.7,16.4,39.9,97.1,1040.0,7.0,1024.0,7.0,0.395,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011037,Point Clare - Koolewong,New South Wales,6606.0,6667.0,6.7794,974.4225152668378,0.122,1.0,0.138,1.0,0.586,3.0,0.291,0.907,0.881,0.542,0.686,0.309,0.791,0.681,0.549,17.3,59.6,23.1,45.1,96.3,1033.0,7.0,1025.0,7.0,0.408,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011038,Saratoga - Davistown,New South Wales,7204.0,7348.0,4.7683,1510.810980852715,0.156,1.0,0.376,2.0,0.248,2.0,0.11,0.77,0.701,0.245,0.563,0.103,0.801,0.719,0.256,17.0,58.8,24.2,45.1,96.2,1056.0,8.0,1028.0,7.0,0.361,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011039,Terrigal - North Avoca,New South Wales,14897.0,15437.0,10.4791,1421.591548892558,0.059,1.0,0.099,1.0,0.181,1.0,0.369,0.435,0.632,0.093,0.295,0.351,0.87,0.51,0.312,17.6,60.9,21.5,43.5,97.4,1078.0,9.0,1085.0,9.0,0.29,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
102011040,Umina - Booker Bay - Patonga,New South Wales,24830.0,25007.0,25.2285,984.2043720395584,0.503,3.0,0.08,1.0,0.88,5.0,0.666,0.929,0.453,0.76,0.963,0.42,0.937,0.267,0.279,16.2,56.1,27.7,47.8,92.8,977.0,4.0,965.0,4.0,0.62,"Ready: HHRI + ABS age + SEIFA joined; raw renter/overcrowding not included, use housing_index"
