region_code,region_name,state_name,category,indicator,value,unit,source_sheet
402021029,Davoren Park,South Australia,Heat,Heat-Health Risk Index,0.997,index 0-1,Heat_Raw_HHRI
402021029,Davoren Park,South Australia,Heat,Heat Exposure Index,0.89,index 0-1,Heat_Raw_HHRI
402021029,Davoren Park,South Australia,Social,Social Vulnerability Index,0.974,index 0-1,Heat_Raw_HHRI
402021029,Davoren Park,South Australia,Housing,Housing Condition Index,0.917,index 0-1,Heat_Raw_HHRI
402021029,Davoren Park,South Australia,Health,Health Status Index,0.696,index 0-1,Heat_Raw_HHRI
402021029,Davoren Park,South Australia,Adaptive Capacity,Adaptive Capacity Index,0.081,index 0-1; higher means less risk,Heat_Raw_HHRI
402021029,Davoren Park,South Australia,Age,Population aged 65+,9.2,%,Social_Raw_AGE
402021029,Davoren Park,South Australia,Disadvantage,IRSD score,792.0,score,SEIFA_Raw
406021139,Coober Pedy,South Australia,Heat,Heat-Health Risk Index,1.0,index 0-1,Heat_Raw_HHRI
406021139,Coober Pedy,South Australia,Heat,Heat Exposure Index,0.948,index 0-1,Heat_Raw_HHRI
406021139,Coober Pedy,South Australia,Social,Social Vulnerability Index,0.929,index 0-1,Heat_Raw_HHRI
406021139,Coober Pedy,South Australia,Housing,Housing Condition Index,0.742,index 0-1,Heat_Raw_HHRI
406021139,Coober Pedy,South Australia,Health,Health Status Index,0.522,index 0-1,Heat_Raw_HHRI
406021139,Coober Pedy,South Australia,Adaptive Capacity,Adaptive Capacity Index,0.014,index 0-1; higher means less risk,Heat_Raw_HHRI
406021139,Coober Pedy,South Australia,Age,Population aged 65+,30.7,%,Social_Raw_AGE
406021139,Coober Pedy,South Australia,Disadvantage,IRSD score,868.0,score,SEIFA_Raw
702021056,Tennant Creek,Northern Territory,Heat,Heat-Health Risk Index,0.999,index 0-1,Heat_Raw_HHRI
702021056,Tennant Creek,Northern Territory,Heat,Heat Exposure Index,0.887,index 0-1,Heat_Raw_HHRI
702021056,Tennant Creek,Northern Territory,Social,Social Vulnerability Index,0.966,index 0-1,Heat_Raw_HHRI
702021056,Tennant Creek,Northern Territory,Housing,Housing Condition Index,0.933,index 0-1,Heat_Raw_HHRI
702021056,Tennant Creek,Northern Territory,Health,Health Status Index,0.512,index 0-1,Heat_Raw_HHRI
702021056,Tennant Creek,Northern Territory,Adaptive Capacity,Adaptive Capacity Index,0.018,index 0-1; higher means less risk,Heat_Raw_HHRI
702021056,Tennant Creek,Northern Territory,Age,Population aged 65+,10.1,%,Social_Raw_AGE
702021056,Tennant Creek,Northern Territory,Disadvantage,IRSD score,791.0,score,SEIFA_Raw
